powerStation,state,postcode,MWCapacity,fuelSource,year
Spreyton,TAS,7310,0.1743,Solar,2025
AU254 M7 BH,NSW,2766,0.4378,Solar,2025
House Power North Maroochydore Homemaker,QLD,4558,0.203,Solar,2025
House Power South Maroochydore Homemaker,QLD,4558,0.1873,Solar,2025
Culcairn Solar Farm,NSW,2660,439.8689,Solar,2025
Domayne Maroochydore Homemaker,QLD,4558,0.203,Solar,2025
GRAC,VIC,3844,0.3045,Solar,2025
Greenlink 6,VIC,3977,0.4385,Solar,2025
HomeCo Hawthorn East,VIC,3123,0.2,Solar,2025
Joyce Mayne Maroochydore Homemaker,QLD,4558,0.1873,Solar,2025
Morgan Sawmill Dublin,SA,5501,0.7052,Solar,2025
Nhill Renewable Energy Facility,VIC,3418,6.512,Solar,2025
Woolworths Eagle Vale 1091,NSW,2558,0.3375,Solar,2025
Greenacres Joint Venture,SA,5086,0.2449,Solar,2025
Moorebank,NSW,2170,1.7308,Solar,2025
Redmud Green Energy 197 Pty Ltd,NSW,2386,6.5185,Solar,2025
Stanhope Leisure Centre,NSW,2768,0.3504,Solar,2025
UA Mornington,TAS,7018,0.2102,Solar,2025
Harvey Norman Warragul,VIC,3820,0.3364,Solar,2025
Goodman AU079 Greystanes Laminex,NSW,2145,0.4,Solar,2025
DW Coomera,QLD,4209,0.7086,Solar,2025
Mackay Christian College Senior Campus,QLD,4740,0.2899,Solar,2025
Team Medical Supplies,NSW,2147,0.2067,Solar,2025
Americold Hemmant 3,QLD,4174,0.5235,Solar,2025
Brothers Sports Club,QLD,4670,0.292,Solar,2025
Dungog WTP,NSW,2420,0.3006,Solar,2025
Wollongong WRRF,NSW,2505,0.2461,Solar,2025
Canally Microgrid,NSW,2715,6.5668,Solar,2025
Coffs Harbour Grange Care Community,NSW,2450,0.1885,Solar,2025
Munno Para Foodland,SA,5114,1.1799,Solar,2025
Tronox,NSW,2715,10.7125,Solar,2025
Elements of Byron,NSW,2481,0.8366,Solar,2025
FABCOT Chermside,QLD,4032,0.2539,Solar,2025
Altona Inlet Pump Station,VIC,3018,0.2256,Solar,2025
Bunnings Keysborough,VIC,3173,0.2002,Solar,2025
Ignatius Park College,QLD,4814,0.2904,Solar,2025
Ambassador Industrial Pty Ltd,VIC,3803,0.2569,Solar,2025
Dexus Dulux Dandenong,VIC,3175,0.2262,Solar,2025
Harbourside Townsville,QLD,4810,0.7794,Solar,2025
KQF Newheath Dr,QLD,4214,0.5359,Solar,2025
Liuzzi 25 Eton St,VIC,3072,0.275,Solar,2025
Liuzzi 71 Gower St,VIC,3072,0.4,Solar,2025
