facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year
Karratha Temporary Generation Power Station,F,WA,432.0,601.0,0.0,601,1.39,Gas,2023
Kununurra Power Station & Kununurra Distribution network,F,WA,12.0,67.0,0.0,67,5.58,Diesel,2023
Lake Argyle Power Station & Lake Argyle Distribution Network,F,WA,0.0,0.0,0.0,0,0.0,Hydro,2023
Laverton Power Station & Distribution Network,F,WA,4128.0,2725.0,0.0,2725,0.66,Diesel,2023
Marble Bar Power Station & Marble Bar Distribution network,F,WA,2115.0,1144.0,0.0,1144,0.54,Diesel,2023
Menzies Power Station & Distribution Network,F,WA,725.0,547.0,0.0,547,0.75,Diesel,2023
Murchison Radio Astronomy Power Station and Distribution Network,F,WA,3136.0,2209.0,0.0,2209,0.7,Diesel,2023
Nullagine Power Station & Nullagine Distribution network,F,WA,1183.0,657.0,0.0,657,0.56,Diesel,2023
Onslow Power Station & Onslow Distribution Network,F,WA,19595.0,9533.0,0.0,9533,0.49,Gas,2023
Wyndham Power Station & Distribution network,F,WA,36.0,26.0,0.0,26,0.72,Diesel,2023
Yungngora Power Station & Yungngora Distribution Network,F,WA,1837.0,1186.0,0.0,1186,0.65,Diesel,2023
Cape Lambert Power Station,F,WA,233360.0,141935.0,0.0,141935,0.61,Gas,2023
Paraburdoo Power Station,F,WA,541351.0,270649.0,0.0,270649,0.5,Gas,2023
West Angelas Power Station,F,WA,400678.0,211291.0,0.0,211291,0.53,Gas,2023
Yurralyi Maya Power Station,F,WA,661895.0,388022.0,0.0,388022,0.59,Gas,2023
Yarranlea Solar Farm,F,QLD,217176.0,35.0,0.0,35,0.0,Solar,2023
Limondale Solar Farm,F,NSW,443762.0,101.0,2306.0,2407,0.0,Solar,2023
Salt Creek Wind Farm,F,VIC,142497.0,37.0,361.0,398,0.0,Wind,2023
Wilga Park Power Station,F,NSW,143670.0,81776.0,4.0,81780,0.57,Coal Seam Methane,2023
Sebastopol Solar Farm,F,NSW,196991.0,18.0,0.0,18,0.0,Solar,2023
Baking Board Solar Farm,F,QLD,35416.0,16.0,65.0,81,0.0,Solar,2023
Karratha Solar Farm,F,WA,1768.0,0.0,6.0,6,0.0,Solar,2023
Maryrorough Solar Farm,F,QLD,59887.0,15.0,92.0,107,0.0,Solar,2023
Mount Majura Solar Farm,F,ACT,3941.0,0.0,1.0,1,0.0,Solar,2023
Swan Hill Solar Farm,F,VIC,30760.0,2.0,55.0,57,0.0,Solar,2023
Williamsdale Solar Farm,F,ACT,16771.0,2.0,54.0,56,0.0,Solar,2023
Vales Point Power Station,F,NSW,6991533.0,6905352.0,69283.0,6974635,0.99,Black Coal,2023
Gangarri Solar Farm,F,QLD,176158.0,192.0,639.0,831,0.0,Solar,2023
Newgen Neerabup Power Station,F,WA,338730.0,233084.0,2138.0,235222,0.69,Gas,2023
Oakey Power Station,F,QLD,113377.0,72058.0,2075.0,74133,0.64,Gas,2023
Musselroe Wind Farm Pty LTd,F,TAS,510078.0,163.0,176.0,339,0.0,Wind,2023
Woolnorth Bluff Point Wind Farm Pty Ltd,F,TAS,240044.0,79.0,83.0,162,0.0,Wind,2023
Woolnorth Studland Bay Wind Farm Pty Ltd,F,TAS,252212.0,175.0,86.0,261,0.0,Wind,2023
Snowtown Wind Farm,F,SA,309976.0,126.0,207.0,333,0.0,Wind,2023
Angaston Power Station,F,SA,6704.0,4429.0,315.0,4744,0.66,Diesel,2023
Colongra Power Station,F,NSW,212154.0,130638.0,5465.0,136103,0.62,Gas,2023
HEZ Power Station,F,NSW,727.0,403.0,581.0,984,0.55,Gas,2023
Laverton North Power Station,F,VIC,106312.0,69967.0,3059.0,73026,0.66,Gas,2023
Lonsdale/Port Stanvac Power Station,F,SA,8886.0,5997.0,438.0,6435,0.67,Diesel,2023
Snowy Hydro Ltd,F,NSW,4750644.0,2983.0,497837.0,500820,0.0,Hydro,2023
Valley Power,F,VIC,29621.0,27872.0,2129.0,30001,0.94,Gas,2023
Bomen Solar Farm,F,NSW,195470.0,11.0,615.0,626,0.0,Solar,2023
Challicum Hills Wind Farm,F,VIC,130041.0,115.0,158.0,273,0.0,Wind,2023
Clements Gap Wind Farm,F,SA,177986.0,40.0,111.0,151,0.0,Wind,2023
Codrington Wind Farm,F,VIC,43225.0,44.0,57.0,101,0.0,Wind,2023
Crowlands Wind Farm,F,VIC,243244.0,65.0,600.0,665,0.0,Wind,2023
Eildon Pondage Hydro,F,VIC,12658.0,5.0,2.0,7,0.0,Hydro,2023
Glenmaggie Hydro,F,VIC,13483.0,8.0,2.0,10,0.0,Hydro,2023
Haughton Solar Farm,F,QLD,234832.0,110.0,1661.0,1771,0.0,Solar,2023
Ord Hydro,F,WA,71316.0,39.0,26.0,65,0.0,Hydro,2023
Portland Wind Farms,F,VIC,492638.0,164.0,221.0,385,0.0,Wind,2023
Taralga Wind Farm,F,NSW,243134.0,96.0,697.0,793,0.0,Wind,2023
The Drop Hydro,F,NSW,4594.0,4.0,9.0,13,0.0,Hydro,2023
William Hovell Hydro,F,VIC,7193.0,7.0,6.0,13,0.0,Hydro,2023
Yaloak South Wind Farm,F,VIC,73492.0,40.0,70.0,110,0.0,Wind,2023
Yambuk Wind Farm,F,VIC,94452.0,48.0,158.0,206,0.0,Wind,2023
Albany Windfarm,F,WA,85783.0,22.0,47.0,69,0.0,Wind,2023
Mackay Gas Turbine,F,QLD,0.0,0.0,0.0,0,0.0,Diesel,2023
Stanwell Power Station,F,QLD,9370552.0,8031094.0,7975.0,8039069,0.86,Black Coal,2023
Tarong Power Stations,F,QLD,11604514.0,10255194.0,43054.0,10298248,0.88,Black Coal,2023
Stockyard Wind Farm,F,VIC,1517912.0,160.0,4896.0,5056,0.0,Wind,2023
Merredin Solar Farm,F,WA,236233.0,30.0,324.0,354,0.0,Solar,2023
Sunraysia Solar Farm,F,NSW,371814.0,30.0,4301.0,4331,0.0,Solar,2023
Moranbah Power Station,F,QLD,26451.0,14816.0,0.0,14816,0.56,Coal Seam Methane,2023
Greenough River Solar Farm,F,WA,95299.0,7.0,150.0,157,0.0,Solar,2023
Gunnedah Solar Farm,F,NSW,180000.0,0.0,0.0,0,0.0,Solar,2023
Suntop Solar Farm,F,NSW,299000.0,0.0,0.0,0,0.0,Solar,2023
Snowtown South Wind Farm Pty Ltd,F,SA,436857.0,29.0,70.0,99,0.0,Wind,2023
Snowtown Wind Farm Stage 2 Pty Ltd,F,SA,435030.0,33.0,98.0,131,0.0,Wind,2023
Kiamal Solar Farm,F,VIC,261488.0,145.0,4083.0,4228,0.0,Solar,2023
Kalgoorlie Power Station,F,WA,245295.0,137865.0,0.0,137865,0.56,Gas,2023
Kambalda Power Station,F,WA,262980.0,146527.0,0.0,146527,0.56,Gas,2023
Leinster Power Station,F,WA,246261.0,135634.0,0.0,135634,0.55,Gas,2023
Mt Keith Power Station,F,WA,289042.0,165136.0,0.0,165136,0.57,Gas,2023
South Hedland Power Station,F,WA,554563.0,270158.0,0.0,270158,0.49,Gas,2023
Tailem Bend Solar farm,F,SA,162613.0,75.0,366.0,441,0.0,Solar,2023
Rocky Point Sugar Mill Cogeneration,F,QLD,32467.0,1439.0,1099.0,2538,0.04,Bagasse,2023
Cocos Keeling Islands - Home Island Generation,F,WA,2278.0,1596.0,0.0,1596,0.7,Diesel,2023
Cocos Keeling Islands - West Island Generation,F,WA,2632.0,2433.0,0.0,2433,0.92,Diesel,2023
West Wyalong SF,F,NSW,61261.0,234.0,388.0,622,0.0,Solar,2023
Wild Cattle Hill Wind Farm,F,TAS,428260.0,110.0,158.0,268,0.0,Wind,2023
Winton Solar Farm,F,VIC,150661.0,33.0,0.0,33,0.0,Solar,2023
