powerStation,state,postcode,MWCapacity,fuelSource,year,lat,lng
AU254 M7 BH,NSW,2766.0,0.4378,Solar,2025.0,-33.8378399,150.8562268
House Power North Maroochydore Homemaker,QLD,4558.0,0.203,Solar,2025.0,-26.4786425637165,152.9522215223456
House Power South Maroochydore Homemaker,QLD,4558.0,0.1873,Solar,2025.0,-26.59081200563836,152.8999991407861
Culcairn Solar Farm,NSW,2660.0,439.8689,Solar,2025.0,-35.7095923,146.9817606
Domayne Maroochydore Homemaker,QLD,4558.0,0.203,Solar,2025.0,-26.6602963,153.0837537
GRAC,VIC,3844.0,0.3045,Solar,2025.0,-36.9847807,143.3906074
Greenlink 6,VIC,3977.0,0.4385,Solar,2025.0,-36.9847807,143.3906074
HomeCo Hawthorn East,VIC,3123.0,0.2,Solar,2025.0,-37.8456763,145.0418097
Joyce Mayne Maroochydore Homemaker,QLD,4558.0,0.1873,Solar,2025.0,-26.6602963,153.0837537
Morgan Sawmill Dublin,SA,5501.0,0.7052,Solar,2025.0,-34.4756096,138.391561
Nhill Renewable Energy Facility,VIC,3418.0,6.512,Solar,2025.0,-36.33278,141.6503408
Woolworths Eagle Vale 1091,NSW,2558.0,0.3375,Solar,2025.0,-34.0386678,150.8131919
Greenacres Joint Venture,SA,5086.0,0.2449,Solar,2025.0,-34.8695296,138.6278607
Moorebank,NSW,2170.0,1.7308,Solar,2025.0,-33.9343989,150.9347027
Redmud Green Energy 197 Pty Ltd,NSW,2386.0,6.5185,Solar,2025.0,-31.2532183,146.921099
Stanhope Leisure Centre,NSW,2768.0,0.3504,Solar,2025.0,-33.7195019,150.9213557
UA Mornington,TAS,7018.0,0.2102,Solar,2025.0,-42.85833299999999,147.403889
Harvey Norman Warragul,VIC,3820.0,0.3364,Solar,2025.0,-38.1673098,145.9510755
Goodman AU079 Greystanes Laminex,NSW,2145.0,0.4,Solar,2025.0,-33.8126925,150.9215177
DW Coomera,QLD,4209.0,0.7086,Solar,2025.0,-27.846439,153.343953
Mackay Christian College Senior Campus,QLD,4740.0,0.2899,Solar,2025.0,-21.1424956,149.1821469
Team Medical Supplies,NSW,2147.0,0.2067,Solar,2025.0,-31.2532183,146.921099
Americold Hemmant 3,QLD,4174.0,0.5235,Solar,2025.0,-27.4445601,153.1170123
Brothers Sports Club,QLD,4670.0,0.292,Solar,2025.0,-24.89116,152.3189313
Dungog WTP,NSW,2420.0,0.3006,Solar,2025.0,-32.4087375,151.7419586
Wollongong WRRF,NSW,2505.0,0.2461,Solar,2025.0,-34.4846167,150.8866852
Canally Microgrid,NSW,2715.0,6.5668,Solar,2025.0,-34.734699,143.352402
Coffs Harbour Grange Care Community,NSW,2450.0,0.1885,Solar,2025.0,-30.3063396,153.0924204
Munno Para Foodland,SA,5114.0,1.1799,Solar,2025.0,-34.68780539999999,138.687965
Tronox,NSW,2715.0,10.7125,Solar,2025.0,-31.2532183,146.921099
Elements of Byron,NSW,2481.0,0.8366,Solar,2025.0,-28.6258964,153.5869699
FABCOT Chermside,QLD,4032.0,0.2539,Solar,2025.0,-27.3858322,153.0310009
Altona Inlet Pump Station,VIC,3018.0,0.2256,Solar,2025.0,-37.8645245,144.8309509
Bunnings Keysborough,VIC,3173.0,0.2002,Solar,2025.0,-37.9898832,145.1469757
Ignatius Park College,QLD,4814.0,0.2904,Solar,2025.0,-19.3001636,146.7589341
Ambassador Industrial Pty Ltd,VIC,3803.0,0.2569,Solar,2025.0,-38.0150051,145.2622939
Dexus Dulux Dandenong,VIC,3175.0,0.2262,Solar,2025.0,-37.9847811,145.2139907
Harbourside Townsville,QLD,4810.0,0.7794,Solar,2025.0,-19.2687693,146.8333644
KQF Newheath Dr,QLD,4214.0,0.5359,Solar,2025.0,-27.9459382,153.3427432
Liuzzi 25 Eton St,VIC,3072.0,0.275,Solar,2025.0,-37.5308071,143.8358074
Liuzzi 71 Gower St,VIC,3072.0,0.4,Solar,2025.0,-37.743696,145.0246844
Mercy Community,QLD,4014.0,0.8525,Solar,2025.0,-27.3643436,153.0946502
Norther Airfield,VIC,3045.0,11.2784,Solar,2025.0,-36.9847807,143.3906074
Rose Farms,WA,6220.0,0.1997,Solar,2025.0,-27.6728168,121.6283098
Suprima Bakeries Pty Ltd,NSW,2566.0,0.7513,Solar,2025.0,-34.0408771,150.8397467
East Rockingham Resource Recovery Facility,WA,,29.0,Biomass,2019.0,-32.2546773,115.7653973
Mangalore Renewable Energy Project,VIC,,5.0,Solar,2021.0,-36.8978497,145.1619235
Orange Community Renewable Energy Park,NSW,,5.0,Solar,2022.0,-33.24778149999999,149.0549392
Moorebank Logistics Park,NSW,,60.0,Solar,2022.0,-33.9507233,150.9231708
Wangaratta Solar Farm,VIC,,40.0,Solar,2023.0,-36.3266146,146.3699862
Kidston Pumped Hydro Storage Project,QLD,,250.0,Hydro,2023.0,-18.889097,144.138785
New England Solar Farm,NSW,,320.0,Solar,2023.0,-31.2532183,146.921099
Bellevue Gold Hybrid Power Station (Wind),WA,,24.0,Wind,2023.0,-31.9503843,115.8391976
Glenellen solar project,NSW,,200.0,Solar,2023.0,-35.9272732,146.9091901
Forest Glen Solar Farm,NSW,,90.0,Solar,2023.0,-33.5431875,151.0267589
Uungula Wind Farm,NSW,,414.0,Wind,2024.0,-32.4919581,149.0942087
Munna Creek Solar Farm,QLD,,150.0,Solar,2024.0,-27.4659968,153.0306249
St Ives Gold Solar Farm,WA,,77.0,Wind,2024.0,-31.383931,121.817241
