powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
Gregory Hills Hotel - Solar w SGU - NSW,NSW,2557.0,0.2,Solar,2025-04-15,2025-04-23,Approved,
Moyhall-Solar-SA,SA,5271.0,8.2029,Solar,2025-03-05,2025-04-24,Approved,
AU371 -Lytton Industry U3 & U4 - Solar - QLD,QLD,4178.0,0.2912,Solar,2025-04-03,2025-05-02,Approved,
Kerarbury Station Almond Orchard - Solar - NSW,NSW,2706.0,6.0037,Solar,2025-03-27,2025-05-02,Approved,
Steel Building Systems - Solar - SA,SA,5113.0,0.2,Solar,2025-03-24,2025-05-02,Approved,
Temperzone - 359.52kW - Solar W SGU - NSW,NSW,2148.0,0.3595,Solar,2025-04-10,2025-05-02,Approved,
Cowboys HQ - Solar-QLD,QLD,4810.0,0.264,Solar,2025-01-17,2025-05-14,Approved,
DUX MANUFACTURING LIMITED - Solar w SGU - NSW,NSW,2577.0,0.3995,Solar,2025-04-11,2025-05-14,Approved,
GPT Highpoint DJ - Solar wSGU - VIC,VIC,3032.0,0.4698,Solar,2024-12-05,2025-05-14,Approved,
Mercy Place Cairns-Solar w SGU -QLD,QLD,4870.0,0.2789,Solar,2025-04-30,2025-05-14,Approved,
Mirani Water Recycling Facility - Solar - QLD,QLD,4754.0,0.1703,Solar,2024-11-29,2025-05-14,Approved,
OPAL Bankstown Terrace Care Community - Solar - NSW,NSW,2200.0,0.2387,Solar,2025-04-23,2025-05-14,Approved,
OPAL Berkeley Care Community - Solar - NSW,NSW,2261.0,0.1687,Solar,2025-04-23,2025-05-14,Approved,
UCS Pakenham - Solar  - VIC,VIC,3810.0,0.1768,Solar,2025-04-02,2025-05-14,Approved,
Armadale Shopping Centre 576kW - Solar - WA,WA,6112.0,0.576,Solar,2025-04-14,2025-05-15,Approved,
Armadale Shopping Centre 700kW - Solar - WA,WA,6112.0,0.704,Solar,2025-04-14,2025-05-15,Approved,
AU876 Rosehill Industrial Estate - Buildings C & D - Solar w SGU - NSW,NSW,2142.0,0.764,Solar,2025-02-14,2025-05-15,Approved,
Mayfield Aged Care - Solar - NSW,NSW,2304.0,0.1923,Solar,2025-04-28,2025-05-15,Approved,
Westrac Tomago - Solar - NSW,NSW,2322.0,1.6632,Solar,2025-04-08,2025-05-15,Approved,
Wollar Solar Farm-Solar-NSW,NSW,2850.0,346.248,Solar,2025-01-17,2025-05-15,Approved,
NEUMANN STEEL 1 - Solar w SGU - QLD,QLD,4223.0,1.5172,Solar,2025-04-22,2025-05-20,Approved,
St Gregory's College Hall - Solar - NSW,NSW,2557.0,0.1993,Solar,2025-05-02,2025-05-20,Approved,
