facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year,lat,lng
Appin CSM Power Station,F,NSW,163584.0,124621.0,85.0,124706,0.76,Coal Seam Methane,2015,-34.200914,150.7874904
Ardyaloon Remote Power Station,F,WA,1774.0,1275.0,0.0,1275,0.72,Liquid Fuel,2015,-16.4469782,123.0597129
Beagle Bay Remote Power Station,F,WA,1621.0,1151.0,0.0,1151,0.71,Liquid Fuel,2015,-16.9830116,122.6651831
Belrose and Grange Avenue LFG Power Stations,FA,NSW,12943.0,815.0,6.0,821,0.06,Landfill Gas,2015,-33.72828990000001,151.2179132
Berwick LFG Power Station,F,VIC,24160.0,1539.0,810.0,2349,0.06,Landfill Gas,2015,-38.0309443,145.3437469
Bidyadanga Remote Power Staiton,F,WA,2907.0,2094.0,0.0,2094,0.72,Liquid Fuel,2015,-18.6847951,121.7798344
Broadmeadows LFG Power Station,F,VIC,19281.0,1230.0,10.0,1240,0.06,Landfill Gas,2015,-37.6858788,144.9246674
Brooklyn LFG Power Station,F,VIC,16999.0,1054.0,5.0,1059,0.06,Landfill Gas,2015,-37.8173492,144.8465361
Broome LNG Power Station,F,WA,134916.0,82255.0,0.0,82255,0.61,Gas/Diesel,2015,-17.96182,122.236998
Browns Plains LFG Power Station,F,QLD,11218.0,712.0,4.0,716,0.06,Landfill Gas,2015,-27.6624358,153.0527734
Century Power Station,FA,QLD,1220.0,848.0,0.0,848,0.69,Diesel,2015,-22.575197,144.0847926
Clayton LFG Power Station,F,VIC,80643.0,4503.0,321.0,4824,0.06,Landfill Gas,2015,-37.9145479,145.127492
Coober Pedy Remote Power Station,F,SA,11906.0,8348.0,0.0,8348,0.7,Diesel,2015,-29.013516,134.7544219
Cue Remote Power Station,F,WA,1890.0,1363.0,0.0,1363,0.72,Liquid Fuel,2015,-27.4245191,117.8969772
Derby LNG Power Station,F,WA,35761.0,18528.0,0.0,18528,0.52,Gas/Diesel,2015,-17.309288,123.6401839
Djarandjin Remote Power Station,F,WA,1621.0,1157.0,0.0,1157,0.71,Liquid Fuel,2015,-16.514329,122.895699
Eastern Creek LFG Power Station,F,NSW,16236.0,931.0,3.0,934,0.06,Landfill Gas,2015,-33.8102184,150.85064
EDL LFG (VIC),FA,VIC,7866.0,502.0,7.0,509,0.06,Landfill Gas,2015,-36.9847807,143.3906074
Fitzroy Crossing LNG Power Station,F,WA,14463.0,7074.0,0.0,7074,0.49,Gas/Diesel,2015,-18.19797,125.5670892
Gascoyne Junction Remote Power Station,F,WA,791.0,603.0,0.0,603,0.76,Liquid Fuel,2015,-25.0497212,115.2097733
German Creek CMM Power Station,F,QLD,305963.0,166630.0,0.0,166630,0.54,Waste Coal Mine Gas,2015,-25.47614107456473,152.8968730508393
Glennies Creek Power Station,F,NSW,90719.0,53189.0,5.0,53194,0.59,Waste Coal Mine Gas,2015,-32.4612156,151.1069328
Halls Creek LNG Power Station,F,WA,11455.0,6357.0,0.0,6357,0.55,Gas/Diesel,2015,-18.2229842,127.6701399
Highbury and Tea Tree Gully Power Stations,FA,SA,3373.0,220.0,42.0,262,0.07,Landfill Gas,2015,-34.825415,138.7269016
Jacks Gully LFG Power Station,F,NSW,15657.0,991.0,1.0,992,0.06,Landfill Gas,2015,-30.77061538644708,152.4718795408291
Karumba Power Station,F,QLD,14376.0,9935.0,8.0,9943,0.69,Diesel,2015,-17.4855733,140.8461782
Laverton Remote Power Station,F,WA,3840.0,2685.0,0.0,2685,0.7,Liquid Fuel,2015,-28.6257407,122.4018661
Leonora Remote Power Station,F,WA,8889.0,6446.0,0.0,6446,0.73,Gas,2015,-28.8815658,121.3308768
Looma Power Station,FA,WA,2591.0,2076.0,0.0,2076,0.8,Gas/Diesel,2015,-18.0398016,124.1493803
Lucas Heights 1 LFG Power Station,F,NSW,22753.0,1447.0,3.0,1450,0.06,Landfill Gas,2015,-34.0506403,150.9872444
Lucas Heights 2 LFG Power Station,F,NSW,100908.0,6422.0,3.0,6425,0.06,Landfill Gas,2015,-34.0506403,150.9872444
McArthur River Power Station,F,NT,285784.0,132182.0,0.0,132182,0.46,Gas,2015,-16.11427123151219,136.3288903783971
Meekatharra Remote Power Station,F,WA,6495.0,4675.0,0.0,4675,0.72,Liquid Fuel,2015,-26.5956611,118.4935984
Menzies Remote Power Station,F,WA,728.0,560.0,0.0,560,0.77,Liquid Fuel,2015,-29.6935942,121.0289555
Moranbah North CMM Power Station,F,QLD,439406.0,238554.0,0.0,238554,0.54,Waste Coal Mine Gas,2015,-21.8853292,147.9657585
Mt Magnet Remote Power Station,F,WA,3450.0,2514.0,0.0,2514,0.73,Gas,2015,-28.0652329,117.8487476
Mugga Lane LFG Power Station,F,ACT,22063.0,1398.0,1.0,1399,0.06,Landfill Gas,2015,-35.3739879,149.1324352
Oaky Creek Power Station,F,QLD,133654.0,77508.0,23.0,77531,0.58,Coal Seam Methane,2015,-28.1913043,152.9375365
Pedler Creek LFG Power Station,F,SA,19150.0,1210.0,2.0,1212,0.06,Landfill Gas,2015,-35.20716240575924,138.5012301905941
Pine Creek A Power Station,F,NT,181082.0,90532.0,0.0,90532,0.5,Gas,2015,-13.8226918,131.8344229
Roghan Road LFG Power Station,FA,QLD,1355.0,83.0,44.0,127,0.06,Landfill Gas,2015,-27.3408691,153.0398998
Sandstone Remote Power Station,F,WA,509.0,406.0,0.0,406,0.8,Liquid Fuel,2015,-27.9879426,119.2979738
Springvale LFG Power Station,F,VIC,16669.0,1066.0,13.0,1079,0.06,Landfill Gas,2015,-37.9487211,145.1529433
Tahmoor Power Station,F,NSW,46456.0,29870.0,10.0,29880,0.64,Waste Coal Mine Gas,2015,-34.2473218,150.5772402
Teralba Power Station,F,NSW,11461.0,7316.0,32.0,7348,0.64,Coal Seam Methane,2015,-32.963111,151.6014534
Tower CSM Power Station,F,NSW,202035.0,145425.0,9.0,145434,0.72,Coal Seam Methane,2015,-31.2532183,146.921099
