facility_name,facility_code,lat,lng,state,fuel_list
Pindari,PINDARI,-29.388034,151.244774,NSW,['Hydro']
Poatina,PTINA,-41.805073,146.924365,TAS,['Hydro']
Port Latta,0PLWF,-40.871168,145.357293,TAS,"['Diesel', 'Wind']"
Port Latta,PORTLATT,-40.857362,145.384824,TAS,"['Diesel', 'Wind']"
Port Lincoln,PORTLCN,-34.700616,135.80453,SA,['Diesel']
Port Stanvac,STANVAC,-35.110345,138.490872,SA,['Diesel']
Portland,PORTWF,-38.361417,141.38456,VIC,['Wind']
Quarantine,QUARANTN,-34.779074,138.522455,SA,['Gas']
Que River,QUERIVER,-41.610502,145.544305,TAS,['Diesel']
Queanbeyan,QBYNB,-35.339311,149.215101,ACT,['Battery']
Reece,REECE,-41.723131,145.136468,TAS,['Hydro']
Remount,REMOUNT,-41.398447,147.1495,TAS,['Landfill Gas']
Repulse,REPULSE,-42.507987,146.64717,TAS,['Hydro']
Rochedale,ROCHEDAL,-27.555798,153.123155,QLD,['Landfill Gas']
Roghan Road,EDLRGNRD,-27.342062,153.049494,QLD,['Landfill Gas']
Roma,ROMA,-26.576788,148.839485,QLD,['Gas']
Ross River,RRSF,-19.425305,146.715686,QLD,['Solar']
Rowallan,ROWALLAN,-41.72957,146.218087,TAS,['Hydro']
Royalla,ROYALLA,-35.486052,149.141966,ACT,['Solar']
Rubicon,RUBICON,-37.292453,145.818202,VIC,['Hydro']
Rugby Run,RUGBYR,-21.940469,147.880877,QLD,['Solar']
Rye Park,RYEPARK,-34.63317,148.95364,NSW,['Wind']
Salt Creek,SALTCRK,-37.918698,142.796027,VIC,['Wind']
Sapphire,SAPHWF1,-29.710273,151.44558,NSW,"['Wind', 'Solar']"
Sebastopol,SEBSF,-34.603287,147.554757,NSW,['Solar']
Shepparton,SHEP1,-36.322223,145.379291,VIC,['Landfill Gas']
Shoalhaven,SHOALHAV,-34.733085,150.4667,NSW,"['Landfill Gas', 'Hydro', 'Solar', 'Solar']"
Silverton,STWF,-31.86095,141.296349,NSW,['Wind']
Smithfield,SITHE,-33.850023,150.950051,NSW,['Gas']
Smithfield,SMTHBES1,-33.849972,150.947448,NSW,['Gas']
Snapper Point,SNAPPER,-34.76452,138.50819,SA,"['Diesel', 'Gas']"
Snowtown,SNOWTOWN,-33.691598,138.166022,SA,"['Wind', 'Solar']"
Snowtown South,SNOWSTH,-33.862624,138.130367,SA,['Wind']
Snuggery,SNUG,-37.664996,140.414686,SA,['Diesel']
Somerton,AGLSOM,-37.630949,144.953098,VIC,['Gas']
Springvale,SVALE,-37.973375,145.139695,VIC,['Landfill Gas']
Stanwell,0STANBESS,-23.513568,150.31811,QLD,['Black Coal']
Stanwell,STANWELL,-23.507501,150.317884,QLD,['Black Coal']
Stapylton,STAPYLTON,-27.736111,153.245931,QLD,['Landfill Gas']
Starfish Hill,STARFHILL,-35.578983,138.139653,SA,['Wind']
Sunraysia,SUNRSF1,-34.821489,143.50916,NSW,['Solar']
Suntop,SUNTPSF,-32.5742,148.860469,NSW,['Solar']
