powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
Barwon Solar Farm,VIC,,250.0,Solar,,,Probable,
Gunning Solar Farm,NSW,,250.0,Solar,,,Probable,
Hopeland Solar Farm,QLD,,250.0,Solar,,,Probable,
Weasel Solar Farm,TAS,,250.0,Solar,,,Probable,
Bundey Solar Farm,SA,,240.0,Solar,,,Probable,
Kondinin Wind Farm,WA,,230.0,Wind,,,Probable,
Thunderbolt Wind Farm stage 1,NSW,,230.0,Wind,,,Probable,
Bell Bay Wind Farm,TAS,,224.0,Wind,,,Probable,
Campbells Forest Solar Farm,VIC,,205.0,Solar,,,Probable,
Narrogin Wind Farm,WA,,200.0,Wind,,,Probable,
Ganymirra Solar Power Station,QLD,,150.0,Solar,,,Probable,
Kiamal Solar Farm - Stage 2,VIC,,150.0,Solar,,,Probable,
Majors Creek Solar Farm,QLD,,150.0,Solar,,,Probable,
Kalgoorlie Regional Renewable Energy Project (Solar),WA,,138.0,Solar,,,Probable,
Elaine Solar Farm,VIC,,125.0,Solar,,,Probable,
Kidston Stage 3 Wind Project,QLD,,120.0,Wind,,,Probable,
Silverleaf Solar Farm,NSW,,120.0,Solar,,,Probable,
Willogoleche 2 Wind Farm,SA,,108.0,Wind,,,Probable,
Bullyard Solar Farm,QLD,,100.0,Solar,,,Probable,
Kayuga Solar Farm,NSW,,100.0,Solar,,,Probable,
Lakeland Wind Farm,QLD,,100.0,Wind,,,Probable,
Winton North Solar Farm,VIC,,100.0,Solar,,,Probable,
Derby Solar Farm & Battery,VIC,,95.0,Solar,,,Probable,
Moranbah Solar Farm,QLD,,90.0,Solar,,,Probable,
Frasers Solar Farm,VIC,,77.0,Solar,,,Probable,
Binningup Solar Facility,WA,,75.0,Solar,,,Probable,
Woolsthorpe Wind Farm,VIC,,70.0,Wind,,,Probable,
Collie Solar and Battery Project,WA,,66.0,Solar,,,Probable,
Barnawartha Solar Farm,VIC,,64.0,Solar,,,Probable,
Vales Point Solar Farm,NSW,,62.0,Solar,,,Probable,
Glanmire Solar Farm,NSW,,60.0,Solar,,,Probable,
Laceby Solar Farm,VIC,,60.0,Solar,,,Probable,
