facility_code,facility_name,lat,lng,timestamp,power_value,emission_value,price_per_mwh,demand_mw,state,fuel_list
STANVAC,Port Stanvac,-35.110345,138.490872,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,SA,['Diesel']
STANWELL,Stanwell,-23.507501,150.317884,2025-10-24T13:15:00,1121.5062,91.3872,137.316,20951.32,QLD,['Black Coal']
STARFHILL,Starfish Hill,-35.578983,138.139653,2025-10-24T13:15:00,6.4981,0.0,137.316,20951.32,SA,['Wind']
STWF,Silverton,-31.86095,141.296349,2025-10-24T13:15:00,21.0776,0.0,137.316,20951.32,NSW,['Wind']
SUNRSF1,Sunraysia,-34.821489,143.50916,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
SUNTPSF,Suntop,-32.5742,148.860469,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
SWAN_E,Swanbank E,-27.655286,152.818644,2025-10-24T13:15:00,121.4375,7.7823,137.316,20951.32,QLD,['Gas']
TALLAWAR,Tallawarra,-34.523089,150.808566,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Gas']
TARALGA,Taralga,-34.425387,149.859603,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Wind']
TARONG,Tarong,-26.774397,151.917838,2025-10-24T13:15:00,920.1,69.5066,137.316,20951.32,QLD,['Black Coal']
TB2SF,Tailem Bend 2,-35.28,139.49,2025-10-24T13:15:00,20.3384,0.0,137.316,20951.32,SA,['Solar']
TBSF,Tailem Bend,-35.28,139.49,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,SA,['Solar']
TIB,Torrens Island,-34.805831,138.524192,2025-10-24T13:15:00,0.22,0.0,137.316,20951.32,SA,"['Gas/Diesel', 'Gas']"
TORRIS,Torrens Island,-34.804559,138.522229,2025-10-24T13:15:00,336.0,17.1301,137.316,20951.32,SA,"['Gas/Diesel', 'Gas']"
TREVALLN,Trevallyn,-41.422302,147.112025,2025-10-24T13:15:00,95.0252,0.0,137.316,20951.32,TAS,['Hydro']
TUNGATIN,Tungatinah,-42.296396,146.455881,2025-10-24T13:15:00,96.49,0.0,137.316,20951.32,TAS,['Hydro']
TVCCPS,Tamar Valley,-41.139268,146.906185,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,TAS,['Gas']
URANQ,Uranquinty,-35.180226,147.21566,2025-10-24T13:15:00,150.3105,7.0529,137.316,20951.32,NSW,['Gas']
WAGGNSF,Wagga North,-35.069081,147.438227,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
WANDSF,Wandoan,-26.263564,149.772243,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,"['Solar', 'Solar']"
WARWSF,Warwick,-28.18321,152.066792,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
WATERLWF,Waterloo,-33.991095,138.915723,2025-10-24T13:15:00,12.2,0.0,137.316,20951.32,SA,"['Wind', 'Solar']"
WAUBRAWF,Waubra,-37.357979,143.5926,2025-10-24T13:15:00,1.5253,0.0,137.316,20951.32,VIC,['Wind']
WELLSF1,Wellington,-32.5207,148.9675,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
WEMENSF1,Wemen,-34.80259,142.543348,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Solar']
WGWF,Willogoleche,-33.393569,138.84821,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,SA,['Wind']
WHITSF,Whitsunday,-20.537259,147.80475,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
WINTSF1,Winton,-36.499695,146.114554,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,"['Solar', 'Solar']"
WIVENHOE,Wivenhoe,-27.372224,152.632362,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Hydro']
WOOLGSF,Woolooga,-26.084522,152.441226,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
WOOLNTH1,Woolnorth,-40.736375,144.694821,2025-10-24T13:15:00,75.58,0.0,137.316,20951.32,TAS,['Wind']
WPWF,Wattle Point,-35.11541,137.718672,2025-10-24T13:15:00,16.91,0.0,137.316,20951.32,SA,['Wind']
WRSF1,White Rock Solar Farm,-29.763292,151.552402,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
WRWF1,White Rock Wind Farm,-29.7718,151.5755,2025-10-24T13:15:00,0.6073000000000001,0.0,137.316,20951.32,NSW,['Wind']
WSTWYSF,West Wyalong,-33.795635,147.314545,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
