facility_code,facility_name,lat,lng
TAHMOOR,Tahmoor,-34.249117,150.577718
TBSF,Tailem Bend,-35.28,139.49
TB2SF,Tailem Bend 2,-35.28,139.49
TALLAWAR,Tallawarra,-34.523089,150.808566
TALWB,Tallawarra B,-34.524833,150.806579
TVCCPS,Tamar Valley,-41.139268,146.906185
TARALGA,Taralga,-34.425387,149.859603
0TARONGBESS,Tarong,-26.780051,151.912068
TARONG,Tarong,-26.774397,151.917838
TARONGN,Tarong North,-26.774397,151.917838
TARRALEA,Tarraleah,-42.301736,146.456661
TATIARA,Tataria,-36.326977,140.737035
TATURA,Tatura,-36.47915,145.235037
TEATREE,Tea Tree Gully,,
TEMPB,Templers,-34.464594,138.77013
SATGN,Temporary Generation North,-34.719707,138.668425
SATGS,Temporary Generation South,-35.096799,138.483997
TERALBA,Teralba,-32.945557,151.612042
0TERANGBESS,Terang,-38.231839,142.933262
TERMSTOR,Terminal,-34.84014,138.712137
BLUFF,The Bluff,-33.367741,138.79379
THEDROP,The Drop,-35.973527,145.999274
0TILBSF,Tilbuster,-30.382963,151.658909
TIMWEST,Timboon West,-38.528351,142.916231
0TOMAGOBESS,Tomago,-32.814277,151.706523
TOORAWF,Toora,-38.653528,146.339774
TIB,Torrens Island,-34.805831,138.524192
TORRIS,Torrens Island,-34.804559,138.522229
TOWER,Tower,-34.219461,150.718012
YABULU,Townsville,-19.200374,146.618265
TGNSS,Traralgon Network Support,-37.833513,144.965955
TREVALLN,Trevallyn,-41.422302,147.112025
TRIBUTE,Tribute,-41.811468,145.653252
TULLYSM,Tully Sugar Mill,-17.937329,145.92739
SNOWY2,Tumut,-35.953492,148.369693
TUMUT3,Tumut 3,-35.610817,148.292644
TUNGATIN,Tungatinah,-42.296396,146.455881
ULBESS,Ulinda Park,-26.92635,150.717472
URANQ,Uranquinty,-35.180226,147.21566
0UUNGULAWF,Uungula,-32.551969,149.161325
VP,Vales Point B,-33.164639,151.544116
VPGS,Valley Power Peaking,-38.252601,146.588906
TITREE,Veolia Ti Tree,-27.695551,152.650313
VICMILL,Victoria Mill,-18.650208,146.200866
VBB,Victorian Big Battery,-38.03828,144.291003
WAGGNSF,Wagga North,-35.069081,147.438227
WLWLSF,Walla Walla,-35.746481,146.961838
WW,Wallerawang,-33.403889,150.084444
WALGRV,Wallgrove,-33.817476,150.827276
PRDSO_WALPOLE,Walpole,-34.988023,116.722925
0WAMBOWF,Wambo,-26.603045,151.246876
WANDSF,Wandoan,-26.263564,149.772243
WANDBG,Wandoan South,-26.263986,149.772871
WNSF,Wangaratta,-36.326757,146.359901
WTAHB,Waratah Super Battery,-33.209781,151.544911
WG,Warragamba,-33.883064,150.595436
WARWSF,Warwick,-28.18321,152.066792
WATERLWF,Waterloo,-33.991095,138.915723
WPWF,Wattle Point,-35.11541,137.718672
WAUBRAWF,Waubra,-37.357979,143.5926
WELLSF1,Wellington,-32.5207,148.9675
WELNSF,Wellington North,-32.514353,148.957634
WEMENSF1,Wemen,-34.80259,142.543348
WESTILLA,West Illawarra Leagues Club,-34.451645,150.843037
WKIEWA,West Kiewa,-36.759674,147.186082
AGLNOW1,West Nowra,-34.882318,150.551075
WSTWYSF,West Wyalong,-33.795635,147.314545
WDBESS,Western Downs,-26.952008,150.694188
WDGPH,Western Downs,-26.927922,150.601542
WDBESS2,Western Downs 2,-26.951989,150.694141
WESTCBT,Western Suburbs League Club,-34.051073,150.832757
WRSF1,White Rock Solar Farm,-29.763292,151.552402
WRWF1,White Rock Wind Farm,-29.7718,151.5755
WHITSF,Whitsunday,-20.537259,147.80475
WHIT1,Whitwood Road,-27.620454,152.824409
WILGAPK,Wilga Park,-30.314444,149.652768
WILGAPKB,Wilga Park B,-30.314444,149.652768
